cycle,pc,instruction,write,rd,data
5,00000000,00500093,1,1,00000005
6,00000004,00000113,1,2,00000000
7,00000008,00110133,1,2,00000005
8,0000000c,fff08093,1,1,00000004
9,00000010,fe009ce3,0,25,00000004
12,00000008,00110133,1,2,00000009
13,0000000c,fff08093,1,1,00000003
14,00000010,fe009ce3,0,25,00000003
17,00000008,00110133,1,2,0000000c
18,0000000c,fff08093,1,1,00000002
19,00000010,fe009ce3,0,25,00000002
22,00000008,00110133,1,2,0000000e
23,0000000c,fff08093,1,1,00000001
24,00000010,fe009ce3,0,25,00000001
27,00000008,00110133,1,2,0000000f
28,0000000c,fff08093,1,1,00000000
29,00000010,fe009ce3,0,25,00000000
30,00000014,00202023,0,0,00000000
